epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,8094.89,1.19567,2.02956,1.66524,0.01411,1.56729,0.60317,0.58788,0.60437,0.40899,0.591,0.57768,0.58618,0.35179,1.27687,2.20091,1.51805,0.02113,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
54,8246.39,1.19608,2.02111,1.63516,0.01418,1.5404,0.56389,0.57044,0.57207,0.38906,0.57837,0.56573,0.55963,0.33769,1.29586,2.25123,1.57171,0.02154,0,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825
55,8396.66,1.19998,2.02101,1.62632,0.01392,1.52071,0.59416,0.59172,0.60242,0.41072,0.60172,0.57816,0.58593,0.35522,1.26198,2.21454,1.51071,0.02106,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
56,8547.22,1.18236,2.00213,1.62114,0.01382,1.5199,0.60051,0.62025,0.61644,0.41604,0.58644,0.6037,0.5978,0.36038,1.27302,2.22243,1.49093,0.02101,0,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
57,8698.17,1.20383,2.01047,1.6209,0.01428,1.51113,0.58899,0.60127,0.60363,0.40936,0.5847,0.59818,0.59219,0.35654,1.2643,2.21009,1.49519,0.0207,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
58,8848.41,1.19089,2.00462,1.60618,0.01395,1.54939,0.5917,0.60333,0.60898,0.41339,0.58447,0.60261,0.59523,0.35816,1.27631,2.19425,1.48462,0.02074,0,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925
59,8999.34,1.18223,2.01053,1.61778,0.01388,1.54502,0.60653,0.57525,0.59734,0.4051,0.58487,0.57018,0.57632,0.35003,1.25801,2.2103,1.55204,0.02077,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
60,9150.27,1.18895,2.00196,1.64473,0.01375,1.50463,0.61787,0.57539,0.60092,0.4077,0.62075,0.57553,0.5931,0.35437,1.26312,2.22,1.53381,0.02059,0,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975
61,9300.62,1.18201,1.98636,1.58613,0.01399,1.50465,0.58991,0.59443,0.60902,0.4057,0.57893,0.5897,0.59261,0.35363,1.27617,2.19478,1.50671,0.02085,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
62,9450.75,1.1889,2.00053,1.59764,0.01386,1.49207,0.58904,0.60503,0.60894,0.41582,0.57624,0.59716,0.59299,0.36207,1.25836,2.21561,1.51537,0.02044,0,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025
63,9601.75,1.1694,1.9647,1.57777,0.01389,1.49917,0.58816,0.59996,0.608,0.42008,0.59083,0.60006,0.59876,0.36789,1.25401,2.20207,1.47781,0.02026,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
64,9752.56,1.17452,1.97685,1.57597,0.01364,1.48667,0.58286,0.60238,0.61272,0.4179,0.56852,0.5963,0.6007,0.36599,1.25367,2.1988,1.48539,0.02049,0,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075
